			полный	цельный	целый	чистый	полый
0 глубокий контейнер полный	ведро		1		1		
	бокал		1		1		
	ящик		1		1		
	корзина		1		1		
	чемодан		1		1		
	ванна		1				
	река		1				
	чашка		1		1		
	рот		1				
	миска		1		1		
	коробка		1		1		
	мешок		1		1		
	сосуд		1				
	стакан		1		1		
1 кронштейн полный	крючок				1		
	вешалка						
	гвоздь						
1 рука с вещью	рука		1				
	ладонь		1		1		
0 плоский контейнер полный	пепельница		1		1		
	полка		1		1		
	поднос		1		1		
	стол		1		1		
1 много людей	автобус		1		1		
	трибуна		1		1		
	аэропорт		1		1		
	бар		1		1		
	кинотеатр		1		1		
	комната		1		1		
	зал		1		1		
	дом		1		1		
0 однородный материал	цинк					1	
	камень					1	
	скала					1	
	дерево					1	
1 газ в объеме	комната		1		1		
мерная конструкция	бокал		1		1		
	бутылка		1		1		
	стакан		1		1		
	бак		1		1		
0 предмет без полости	шар						1
	орех						1
	куб						1
	ствол						1
1 слезы в глазах	глаза		1				
МТФ максимум	прилив		1				
	луна		1				
	скорость		1				
	сила		1				
	победа		1				
	поражение		1				
	ответственность		1				
	доступ		1				
	рост		1				
	голос		1				
	контроль		1				
МТФ много чувств	полон сомнений		1				
	взгляд, полный ненависти		1				
МТФ много (метаф.контейнер)	бумага				1		
	книга				1		
	город				1		
	небеса		1		1		
	рука				1		
	магазин				1		
	озеро				1		
МТФ беременность	женщина						
МТФ время - мерная конструкция	лето				1		
	ночь				1		
МТФ носитель с информацией	бумага				1		
	страница				1		
	тетрадь				1		
МТФ время с событиями	будущее	-					
	год				1		
	день				1		
	неделя				1		
	жизнь				1		
МТФ свет в объеме	полдень						
МТФ есть актуальный пользователь	место						
	кровать						
МТФ охват	стена				1		
МТФ без недостачи	квота				1		
	служащий						
	каникулы				1		
	возраст						
	тело						
	семья		1				
	народ				1		
	аспект						
	имя		1				
	комплект		1				
	собрание		1				
	набор		1				
	труды						
	текст						
	платеж		1				
	список		1				
	саундтрек						
	признание						
	установка		1				
	геном						
